◇ injecting env (13) from .env.local // tip: ◈ encrypted .env [www.dotenvx.com]
Fetching dirty products from Supabase...
Scanned 1000 rows, 13 dirty so far...
Batch 115/655 — fixed: 2850, skipped: 0
Batch 116/655 — fixed: 2875, skipped: 0
Batch 117/655 — fixed: 2900, skipped: 0
Batch 118/655 — fixed: 2925, skipped: 0
Batch 119/655 — fixed: 2950, skipped: 0
Batch 120/655 — fixed: 2975, skipped: 0
Batch 121/655 — fixed: 3000, skipped: 0
Batch 122/655 — fixed: 3025, skipped: 0
Batch 123/655 — fixed: 3050, skipped: 0
Batch 124/655 — fixed: 3075, skipped: 0
Batch 125/655 — fixed: 3100, skipped: 0
Batch 126/655 — fixed: 3125, skipped: 0
Batch 127/655 — fixed: 3150, skipped: 0
Batch 128/655 — fixed: 3175, skipped: 0
Batch 129/655 — fixed: 3200, skipped: 0
Batch 130/655 — fixed: 3225, skipped: 0
Batch 131/655 — fixed: 3250, skipped: 0
Batch 132/655 — fixed: 3275, skipped: 0
Batch 133/655 — fixed: 3300, skipped: 0
Batch 134/655 — fixed: 3325, skipped: 0
Batch 135/655 — fixed: 3350, skipped: 0
Batch 136/655 — fixed: 3375, skipped: 0
Batch 137/655 — fixed: 3400, skipped: 0
Batch 138/655 — fixed: 3425, skipped: 0
Batch 139/655 — fixed: 3450, skipped: 0
Batch 140/655 — fixed: 3475, skipped: 0
Batch 141/655 — fixed: 3500, skipped: 0
Batch 142/655 — fixed: 3525, skipped: 0
Batch 143/655 — fixed: 3550, skipped: 0
Batch 144/655 — fixed: 3575, skipped: 0
Batch 145/655 — fixed: 3600, skipped: 0
Batch 146/655 — fixed: 3625, skipped: 0
Batch 147/655 — fixed: 3650, skipped: 0
Batch 148/655 — fixed: 3675, skipped: 0
Batch 149/655 — fixed: 3700, skipped: 0
Batch 150/655 — fixed: 3725, skipped: 0
Batch 151/655 — fixed: 3750, skipped: 0
Batch 152/655 — fixed: 3775, skipped: 0
Batch 153/655 — fixed: 3800, skipped: 0
Batch 154/655 — fixed: 3825, skipped: 0
Batch 155/655 — fixed: 3850, skipped: 0
Batch 156/655 — fixed: 3875, skipped: 0
Batch 157/655 — fixed: 3900, skipped: 0
Batch 158/655 — fixed: 3925, skipped: 0
Batch 159/655 — fixed: 3950, skipped: 0
Batch 160/655 — fixed: 3975, skipped: 0
Batch 161/655 — fixed: 4000, skipped: 0
Batch 162/655 — fixed: 4025, skipped: 0
Batch 163/655 — fixed: 4050, skipped: 0
Batch 164/655 — fixed: 4075, skipped: 0
Batch 165/655 — fixed: 4100, skipped: 0
Batch 166/655 — fixed: 4125, skipped: 0
Batch 167/655 — fixed: 4150, skipped: 0
Batch 168/655 — fixed: 4175, skipped: 0
Batch 169/655 — fixed: 4200, skipped: 0
Batch 170/655 — fixed: 4225, skipped: 0
Batch 171/655 — fixed: 4250, skipped: 0
Batch 172/655 — fixed: 4275, skipped: 0
Batch 173/655 — fixed: 4300, skipped: 0
Batch 174/655 — fixed: 4325, skipped: 0
Batch 175/655 — fixed: 4350, skipped: 0
Batch 176/655 — fixed: 4375, skipped: 0
Batch 177/655 — fixed: 4400, skipped: 0
Batch 178/655 — fixed: 4425, skipped: 0
Batch 179/655 — fixed: 4450, skipped: 0
Batch 180/655 — fixed: 4475, skipped: 0
Batch 181/655 — fixed: 4500, skipped: 0
Batch 182/655 — fixed: 4525, skipped: 0
Batch 183/655 — fixed: 4550, skipped: 0
Batch 184/655 — fixed: 4575, skipped: 0
Batch 185/655 — fixed: 4600, skipped: 0
Batch 186/655 — fixed: 4625, skipped: 0
Batch 187/655 — fixed: 4650, skipped: 0
Batch 188/655 — fixed: 4675, skipped: 0
Batch 189/655 — fixed: 4700, skipped: 0
Batch 190/655 — fixed: 4725, skipped: 0
Batch 191/655 — fixed: 4750, skipped: 0
Batch 192/655 — fixed: 4775, skipped: 0
Batch 193/655 — fixed: 4800, skipped: 0
Batch 194/655 — fixed: 4825, skipped: 0
Batch 195/655 — fixed: 4850, skipped: 0
Batch 196/655 — fixed: 4875, skipped: 0
Batch 197/655 — fixed: 4900, skipped: 0
Batch 198/655 — fixed: 4925, skipped: 0
Batch 199/655 — fixed: 4950, skipped: 0
Batch 200/655 — fixed: 4975, skipped: 0
Batch 201/655 — fixed: 5000, skipped: 0
Batch 202/655 — fixed: 5025, skipped: 0
Batch 203/655 — fixed: 5050, skipped: 0
Batch 204/655 — fixed: 5075, skipped: 0
Batch 205/655 — fixed: 5100, skipped: 0
Batch 206/655 — fixed: 5125, skipped: 0
Batch 207/655 — fixed: 5150, skipped: 0
Batch 208/655 — fixed: 5175, skipped: 0
Batch 209/655 — fixed: 5200, skipped: 0
Batch 210/655 — fixed: 5225, skipped: 0
Batch 211/655 — fixed: 5250, skipped: 0
Batch 212/655 — fixed: 5275, skipped: 0
Batch 213/655 — fixed: 5300, skipped: 0
Batch 214/655 — fixed: 5325, skipped: 0
Batch 215/655 — fixed: 5350, skipped: 0
Batch 216/655 — fixed: 5375, skipped: 0
Batch 217/655 — fixed: 5400, skipped: 0
Batch 218/655 — fixed: 5425, skipped: 0
Batch 219/655 — fixed: 5450, skipped: 0
Batch 220/655 — fixed: 5475, skipped: 0
Batch 221/655 — fixed: 5500, skipped: 0
Batch 222/655 — fixed: 5525, skipped: 0
Batch 223/655 — fixed: 5550, skipped: 0
Batch 224/655 — fixed: 5575, skipped: 0
Batch 225/655 — fixed: 5600, skipped: 0
Batch 226/655 — fixed: 5625, skipped: 0
Batch 227/655 — fixed: 5650, skipped: 0
Batch 228/655 — fixed: 5675, skipped: 0
Batch 229/655 — fixed: 5700, skipped: 0
Batch 230/655 — fixed: 5725, skipped: 0
Batch 231/655 — fixed: 5750, skipped: 0
Batch 232/655 — fixed: 5775, skipped: 0
Batch 233/655 — fixed: 5800, skipped: 0
Batch 234/655 — fixed: 5825, skipped: 0
Batch 235/655 — fixed: 5850, skipped: 0
Batch 236/655 — fixed: 5875, skipped: 0
Batch 237/655 — fixed: 5900, skipped: 0
Batch 238/655 — fixed: 5925, skipped: 0
Batch 239/655 — fixed: 5950, skipped: 0
Batch 240/655 — fixed: 5975, skipped: 0
Batch 241/655 — fixed: 6000, skipped: 0
Batch 242/655 — fixed: 6025, skipped: 0
Batch 243/655 — fixed: 6050, skipped: 0
Batch 244/655 — fixed: 6075, skipped: 0
Batch 245/655 — fixed: 6100, skipped: 0
Batch 246/655 — fixed: 6125, skipped: 0
